*                                                                           KC-
*type   name       id     mass/GeV      width     max_Dm 3*ch 2*sp c*t/mm   LUND
Mes  chi_b0         10551 9.8598          0       0        0   0       0     175
Mes  chi_b1         20553 9.8919          0       0        0   2       0     195
Mes  chi_b2           555 9.9132          0       0        0   4       0     215
Mes  chi_b0(2P)     30551 10.2321         0       0        0   0       0     410
Mes  chi_b1(2P)     50553 10.2552         0       0        0   2       0     411
Mes  chi_b2(2P)     10555 10.2685         0       0        0   4       0     412
Mes  chi_b0(3P)     50551 10.50070        0       0        0   0       0     413
Mes  chi_b1(3P)    110553 10.51600        0       0        0   2       0     414
Mes  chi_b2(3P)     20555 10.52640        0       0        0   4       0     415
Mes  eta_b2(1D)     40555 10.157          0       0        0   2       0     424
Mes  eta_b2(2D)     60555 10.441          0       0        0   2       0     425
Mes  Upsilon1(1D)  120553 10.15010        0       0        0   2       0     416
Mes  Upsilon2(1D)   30555 10.15620        0       0        0   4       0     417
Mes  Upsilon3(1D)     557 10.15990        0       0        0   6       0     418
Mes  Upsilon1(2D)  130553 10.43490        0       0        0   2       0     419
Mes  Upsilon2(2D)   50555 10.44060        0       0        0   4       0     420
Mes  Upsilon3(2D)   10557 10.44430        0       0        0   6       0     421
*
* Delta barions
*
Bar  Delta-          1114 1.234           0.115   0.14    -3   3       0     361
Bar  anti-Delta+    -1114 1.234           0.115   0.14     3   3       0       0
Spe  n_diffr         2110 0               0       0        0   1       0     282
Spe  anti-n_diffr   -2110 0               0       0        0   1       0       0
Bar  Delta0          2114 1.233           0.115   0.14     0   3       0     362
Bar  anti-Delta0    -2114 1.233           0.115   0.14     0   3       0       0
Spe  p_diff+         2210 0               0       0        3   1       0     283
Spe  anti-p_diff-   -2210 0               0       0       -3   1       0       0
Bar  Delta+          2214 1.232           0.115   0.14     3   3       0     363
Bar  anti-Delta-    -2214 1.232           0.115   0.14    -3   3       0       0
Bar  Delta++         2224 1.231           0.115   0.14     6   3       0     364
Bar  anti-Delta--   -2224 1.231           0.115   0.14    -6   3       0       0
*
* Strange barions
*
Bar  Sigma*-         3114 1.3872          0.0394  0.04    -3   3       0     365
Bar  anti-Sigma*+   -3114 1.3872          0.0394  0.04     3   3       0       0
Bar  Sigma*0         3214 1.3837          0.036   0.035    0   3       0     366
Bar  anti-Sigma*0   -3214 1.3837          0.036   0.035    0   3       0       0
Bar  Sigma*+         3224 1.3828          0.036   0.035    3   3       0     367
Bar  anti-Sigma*-   -3224 1.3828          0.036   0.035   -3   3       0       0
Bar  Xi*-            3314 1.5350          0.0099  0.05    -3   3       0     368
Bar  anti-Xi*+      -3314 1.5350          0.0099  0.05     3   3       0       0
Bar  Xi*0            3324 1.5318          0.0091  0.05     0   3       0     369
Bar  anti-Xi*0      -3324 1.5318          0.0091  0.05     0   3       0       0
*
* Charmed barions
*
Bar  Sigma_c0        4112 2.45206         0       0        0   1       0     341
Bar  anti-Sigm_c0   -4112 2.45206         0       0        0   1       0       0
Bar  Sigma_c*0       4114 2.53            0       0        0   3       0     371
Bar  anti-Sgm_c*0   -4114 2.53            0       0        0   3       0       0
Bar  Lambda_c+       4122 2.2849          0       0        3   1  0.0618     312
Bar  anti-Lmbd_c-   -4122 2.2849          0       0       -3   1  0.0618       0
Bar  Xi_c0           4132 2.4703          0       0        0   1   0.029     314
Bar  anti-Xi_c0     -4132 2.4703          0       0        0   1   0.029       0
Bar  Sigma_c+        4212 2.4534          0       0        3   1       0     342
Bar  anti-Sigm_c-   -4212 2.4534          0       0       -3   1       0       0
Bar  Sigma_c*+       4214 2.53            0       0        3   3       0     372
Bar  anti-Sgm_c*-   -4214 2.53            0       0       -3   3       0       0
Bar  Sigma_c++       4222 2.45285         0       0        6   1       0     343
Bar  anti-Sgm_c--   -4222 2.45285         0       0       -6   1       0       0
Bar  Sigma_c*++      4224 2.53            0       0        6   3       0     373
Bar  ant-Sgm_c*--   -4224 2.53            0       0       -6   3       0       0
Bar  Xi_c+           4232 2.4656          0       0        3   1   0.106     315
Bar  anti-Xi_c-     -4232 2.4656          0       0       -3   1   0.106       0
Bar  Xi'_c0          4312 2.55            0       0        0   1       0     344
Bar  anti-Xi'_c0    -4312 2.55            0       0        0   1       0       0
